name,Eads,dCenter,WorkFunc,X,Y,Z,BaderCharge_K,Δq_K
FeFeMnNi,-1.29013822,-4.713528144,5.309552757,2422.232966,2206.183419,1.749038,8.116599,-0.883401
FeFeNiCo,-1.32036586,-4.710131357,5.349375968,2345.423145,2477.904206,1.889537,8.116303,-0.883697
FeFeNiNi,-1.30915951,-3.99271513,5.168742319,2484.818331,1920.364051,2.208776,8.113351,-0.886649
FeMnFeCo,-1.28512777,-4.676267937,5.352475114,1596.983759,1736.784556,1.965222,8.120767,-0.879233
FeMnFeNi,-1.3545276,-4.689299063,5.357350073,1455.410337,1765.524771,1.581458,8.1186,-0.8814
FeCoNiCu,-1.28299506,-4.049787283,5.375375229,2007.788433,2029.378686,1.995551,8.111711,-0.888289
FeNiFeCo,-1.21618683,-4.749204374,5.320704881,2612.297097,2058.113511,1.596816,8.114535,-0.885465
FeNiFeNi,-1.2711794,-4.021993363,5.405558903,3827.165836,2444.321307,1.59488,8.112988,-0.887012
MnFeCoCu,-1.1761267,-4.781146602,5.324155365,1522.403023,1389.329924,2.306061,8.11504,-0.88496
MnFeCoNi,-1.23674628,-4.737414853,5.262790145,2366.038467,2276.10091,2.0628,8.115342,-0.884658
MnCoMnCo,-1.18982753,-4.753740035,5.308837862,587.144277,341.371464,2.504904,8.118219,-0.881781
MnCoMnFe,-1.22379902,-4.695632205,5.32558811,1082.184654,1033.844235,2.125064,8.119155,-0.880845
MnCoMnNi,-1.16462226,-4.76722702,5.120574479,1039.723378,897.055355,2.134505,8.116324,-0.883676
MnNiCoCu,-1.14342458,-4.087386093,5.316948758,853.311809,612.714259,1.981496,8.111224,-0.888776
MnNiCuCo,-1.35621581,-4.017552248,5.202599855,2007.096328,887.495025,2.666442,8.111675,-0.888325
MnFeCuCo,-1.39052034,-4.694428297,5.254630558,3030.493485,2309.97678,1.859667,8.116271,-0.883729
MnFeCuNi,-1.3757472,-3.980300164,5.051246515,3087.639106,2575.075359,2.294665,8.114125,-0.885875
MnCuMnCo,-1.13126729,-4.799681999,5.309235981,701.646648,720.882239,2.07215,8.115909,-0.884091
MnCuMnCu,-1.09377778,-4.099948642,5.313349261,1626.992088,1091.571318,1.561011,8.114377,-0.885623
MnCuMnFe,-1.21922458,-4.736739608,5.296660947,2243.782522,1875.496406,1.888101,8.118134,-0.881866
MnCuMnNi,-1.15068417,-4.812270615,5.216236732,917.522815,867.046407,1.622846,8.114697,-0.885303
MnCoFeCu,-1.12261482,-4.801997367,5.316751832,892.866452,791.201713,1.868465,8.115536,-0.884464
MnCoFeNi,-1.19048229,-4.760068515,5.32445841,1857.936485,655.040405,1.960104,8.115164,-0.884836
MnFeMnFe,-0.96080574,-4.654244659,5.323014428,4508.141412,4113.542506,1.735848,8.122413,-0.877587
MnNiFeCu,-1.16254369,-4.068943231,5.263677268,932.907132,592.011278,1.578194,8.114438,-0.885562
MnMnCoCo,-1.29780192,-4.705925566,5.113417726,6661.045037,7122.941065,2.155335,8.119338,-0.880662
MnMnCoFe,-1.34269511,-4.650377333,5.253068584,3244.011626,2679.55959,1.640134,8.122007,-0.877993
MnMnCoNi,-1.26076244,-4.725929629,5.139095003,6688.879156,7476.157594,1.815066,8.117921,-0.882079
MnMnCuCo,-1.16824756,-4.688721362,5.242514126,7220.609967,7527.826266,2.131444,8.117016,-0.882984
MnMnCuCu,-1.44761071,-3.981071612,5.432537964,5662.21652,6240.377569,2.019006,8.115455,-0.884545
MnMnCuFe,-1.46557855,-4.630927318,5.280015925,1862.416757,1909.998228,2.590905,8.120397,-0.879603
MnMnCuNi,-1.23797337,-4.713403984,4.563402054,16862.12725,6858.446514,2.052923,8.115254,-0.884746
MnMnFeFe,-1.36855537,-4.627986611,5.335923342,5449.159986,5865.044726,2.131705,8.12347,-0.87653
MnMnMnCo,-1.21625237,-4.687388908,5.311298479,4434.119643,3767.066613,1.902078,8.121285,-0.878715
MnMnMnCu,-1.10173332,-4.745548694,4.73532787,1771.002018,2612.640544,2.387524,8.119322,-0.880678
MnMnMnFe,-1.32107486,-4.636353237,5.279476336,9275.236163,9645.016046,1.696608,8.123417,-0.876583
MnMnMnMn,-1.33242914,-4.62398569,5.359737262,3265.53419,3238.156351,1.580367,8.124147,-0.875853
MnMnMnNi,-1.25565612,-4.708110746,5.242317799,3760.249019,3007.242919,1.804606,8.118368,-0.881632
MnMnNiFe,-1.41559323,-4.651449379,4.765383291,1954.455749,1709.992001,1.724537,8.120268,-0.879732
MnMnNiNi,-1.31543287,-4.724871073,5.241786429,5638.731873,5920.437393,2.058266,8.115727,-0.884273
MnCoNiCu,-1.25778376,-4.058230578,5.168062513,1172.145051,841.599948,2.174673,8.111419,-0.888581
MnFeNiCo,-1.30972397,-4.716279548,5.049099125,2969.239782,2269.730955,2.190488,8.116354,-0.883646
MnFeNiCu,-1.29816703,-4.021698217,5.089322026,3354.515505,1987.008841,2.659345,8.114041,-0.885959
MnNiMnFe,-1.24632561,-4.715680249,5.239403616,2965.689463,2616.924246,1.949258,8.117852,-0.882148
MnNiMnNi,-1.16840502,-4.789891652,5.134847752,4320.253355,698.694438,1.651913,8.112775,-0.887225
NiCoNiFe,-1.3558549,-3.985983827,5.264698113,704.290902,1641.407783,2.295903,8.113619,-0.886381
NiCuNiCo,-1.37736791,-4.054693351,5.338077181,378.975973,3278.822219,2.564408,8.109971,-0.890029
NiCuNiCu,-0.93990284,-4.090556255,5.3218357,780.013219,961.922927,2.473781,8.106692,-0.893308
NiCuNiFe,-1.45903584,-4.008816323,5.149867945,420.611043,892.165515,2.662336,8.112373,-0.887627
NiCuNiMn,-1.47967313,-4.00609331,5.171464145,285.041687,1330.523374,2.157092,8.112875,-0.887125
NiMnNiCo,-1.34646046,-3.986627744,5.309891229,482.835128,4244.131952,2.042225,8.114125,-0.885875
NiMnNiFe,-1.39922159,-4.688028016,4.667293701,499.892229,1906.60094,1.766928,8.116264,-0.883736
NiNiCoFe,-1.2931702,-4.00727051,5.336118674,651.054354,737.05846,2.020651,8.11199,-0.88801
NiNiCuCo,-1.41751827,-4.030277327,5.137167661,488.002307,761.523986,2.180213,8.109718,-0.890282
NiNiCuCu,-1.46604231,-4.074462097,5.210436739,1015.431043,1029.572962,2.216393,8.106981,-0.893019
NiNiCuFe,-1.41710659,-3.99332656,4.768910576,629.297195,844.814582,2.574042,8.111712,-0.888288
NiNiCuMn,-1.30322074,-3.964915247,5.339398109,1275.44481,2949.213942,2.022407,8.112782,-0.887218
NiNiMnCo,-1.21922147,-4.054378217,4.674741185,1033.497253,1365.73585,2.861936,8.112035,-0.887965
NiNiMnFe,-1.03816962,-4.741590336,4.982613683,4121.98458,4420.263483,3.484928,8.072013,-0.927987
NiNiNiCo,-1.32725029,-4.051175852,5.285441232,464.343437,1350.520293,2.299339,8.108305,-0.891695
NiNiNiCu,-1.35908122,-4.088874685,5.389267615,385.048643,1353.077096,2.684108,8.107131,-0.892869
NiNiNiFe,-1.37763053,-3.999351891,5.406212716,365.949085,994.026984,2.449691,8.111824,-0.888176
NiNiNiMn,-1.40567807,-4.002771342,5.404852426,525.62008,1136.75419,1.975856,8.112638,-0.887362
NiNiNiNi,-1.33283636,-4.068266538,5.414342314,2426.539547,1628.719986,2.288796,8.106321,-0.893679
