0,1,2,3,4,5,6,7,8
-0.03260994,-1.2530243,-3.9915562,5.3951406,2533.14,2357.4893,2.2151258,-0.88319945,53.8
0.084451735,-1.2414073,-4.050996,5.4326277,2556.542,2357.9353,2.2215104,-0.88230896,48.81
0.115881816,-1.2164545,-4.0950785,5.3987417,2526.8572,2350.3247,2.278205,-0.8834259,34.83
0.005876525,-1.2611157,-4.0525346,5.3957977,2939.0283,2818.3027,2.1235995,-0.88183206,45.46
0.15147205,-1.2431093,-4.126539,5.4462795,3000.3003,2752.6519,2.0548131,-0.88083196,31.89
0.1555276,-1.2206646,-4.148028,5.4051933,2970.8967,2747.9878,2.1300004,-0.8818804,42.74
0.26028538,-1.2357061,-4.180467,5.476725,3058.8918,2758.0017,2.0673542,-0.8797312,69.94
0.28954968,-1.2097056,-4.225349,5.432415,3106.3625,2788.0564,2.1231582,-0.8808481,63.5
0.303931,-1.1911256,-4.2752223,5.4080687,3023.0896,2787.273,2.1685476,-0.8818871,48.52
0.18047503,-1.2498441,-4.1858034,5.450674,3315.8604,3175.2764,1.9566798,-0.879708,49.21
0.20764509,-1.2327349,-4.216321,5.408427,3342.9731,3180.6255,2.0314534,-0.88036895,25.64
0.30024332,-1.2337714,-4.240589,5.483597,3384.3909,3112.606,1.9250914,-0.8785334,36.15
0.32932967,-1.2157149,-4.2817664,5.4454937,3412.0408,3139.93,1.9732181,-0.8795042,22.8
0.34655285,-1.1985343,-4.3309093,5.418223,3422.8574,3140.9114,2.0193381,-0.8803128,19.77
0.4513288,-1.2058133,-4.3454604,5.4694777,3523.6045,3095.3594,1.9829981,-0.8783894,44.87
0.47667608,-1.1883191,-4.4107695,5.4378257,3567.8247,3213.8508,2.011073,-0.8793413,28.32
0.034054525,-1.2620547,-4.094361,5.331951,2756.9998,2631.8813,2.2210891,-0.88240814,25.91
0.15943812,-1.2477518,-4.160171,5.3949213,2818.6707,2645.745,2.1663957,-0.88089156,30.76
0.18103059,-1.2184744,-4.2005816,5.3428617,2790.6052,2625.6833,2.2279406,-0.88242644,24.24
0.2944329,-1.2444956,-4.227558,5.436021,2856.3337,2691.525,2.1679022,-0.8793276,26.87
0.31389782,-1.211965,-4.2668953,5.386614,2866.4534,2660.5837,2.2146826,-0.88090706,51.97
0.33912915,-1.1866943,-4.3159404,5.3544197,2812.386,2628.3042,2.2718308,-0.8825841,44.17
0.21279153,-1.2613282,-4.2133737,5.406573,3107.3086,2971.382,2.0467074,-0.8795433,20.29
0.23305537,-1.233421,-4.2520304,5.351468,3118.6726,2949.415,2.122209,-0.88102543,22.78
0.33273253,-1.2500844,-4.27007,5.450402,3165.472,2990.996,2.0168674,-0.87815446,43.06
0.3587658,-1.2219983,-4.3146214,5.403272,3185.356,2973.3206,2.0678802,-0.87946177,35.97
0.38502243,-1.1969211,-4.368203,5.3643537,3174.3525,2954.5474,2.1234987,-0.8808445,50.78
0.48272967,-1.2152693,-4.379524,5.4353023,3297.069,3033.3914,2.0670195,-0.8780239,56.43
0.5098645,-1.1908848,-4.4370546,5.3956594,3294.226,3060.7964,2.1110396,-0.8794686,44.19
0.3859528,-1.2618904,-4.3296266,5.4611554,3385.4265,3245.614,1.8963938,-0.87693125,71.81
0.40583688,-1.238324,-4.3664556,5.4139867,3422.405,3242.1973,1.9648376,-0.87812924,28.4
0.43244702,-1.2145114,-4.398106,5.372457,3403.4258,3286.4338,2.0221348,-0.8793345,51.65
0.53546953,-1.2229356,-4.424318,5.4478397,3544.4019,3262.1335,1.941977,-0.87670255,49.48
0.5557745,-1.203177,-4.4769506,5.4122605,3586.2324,3310.21,1.9836715,-0.87789917,77.78
0.68471336,-1.193195,-4.5287642,5.4341817,3768.468,3397.7305,2.0065467,-0.8765287,49.96
0.23961066,-1.2643499,-4.233572,5.352349,3219.4526,3067.757,2.1364172,-0.87941045,70.43
0.26339248,-1.2301137,-4.2816696,5.2846823,3177.5159,3018.7344,2.2201467,-0.8815103,60.97
0.36841437,-1.254445,-4.299358,5.4126287,3244.1284,3088.106,2.095598,-0.87773293,76.11
0.3929381,-1.2201452,-4.3471622,5.350714,3227.3723,3006.7131,2.1552637,-0.8793413,93.04
0.41676977,-1.1890546,-4.407823,5.296742,3187.9888,2953.4973,2.2257164,-0.88148814,66.4
0.5228203,-1.2167565,-4.409221,5.399159,3291.9734,3066.0613,2.1439636,-0.87769556,72.33
0.5488827,-1.1864657,-4.456002,5.34604,3273.1787,3038.1284,2.2014475,-0.87938833,46.75
0.4125537,-1.2690964,-4.341198,5.4263077,3502.442,3384.9941,1.9823432,-0.8763245,38.59
0.44079414,-1.2382914,-4.386492,5.3659244,3524.1055,3345.229,2.0409696,-0.87783676,34.22
0.45945928,-1.2083395,-4.4278364,5.3127275,3452.7078,3337.746,2.1200087,-0.8799177,40.37
0.56758887,-1.2287574,-4.4439836,5.414007,3556.515,3343.719,2.006868,-0.87620836,49.64
0.59773827,-1.1997217,-4.4929814,5.365054,3582.1875,3332.348,2.0655432,-0.8777738,21.11
0.7224496,-1.194195,-4.551062,5.397489,3726.2551,3467.9817,2.0728009,-0.87607074,44.37
0.61357534,-1.2441856,-4.478801,5.428078,3751.9453,3584.0464,1.8992796,-0.8749794,41.11
0.6385451,-1.219737,-4.5135174,5.382749,3751.0325,3627.0242,1.9495763,-0.87639606,61.68
0.76261806,-1.2056031,-4.5650663,5.4208536,3924.143,3635.2417,1.9432225,-0.8747601,59.27
0.18512563,-1.2289537,-4.2042265,5.337117,2815.9758,2613.9973,2.2502367,-0.8818176,70.93
0.2544717,-1.2266517,-4.233602,5.3648653,2842.3696,2630.4167,2.2428627,-0.8809731,81.77
0.26339272,-1.2116417,-4.2556434,5.33727,2825.295,2624.0068,2.2680163,-0.8818372,76.95
0.20634286,-1.2368102,-4.226821,5.343221,2966.2283,2812.5164,2.183524,-0.8810758,50.51
0.27444497,-1.2327685,-4.2562103,5.3716264,2998.5715,2819.753,2.1630816,-0.88019764,89.96
0.28670976,-1.2165649,-4.280942,5.3431716,2986.9119,2782.5647,2.1979449,-0.8810541,87.85
0.34252223,-1.2306422,-4.2852383,5.3983335,3028.2905,2836.6936,2.156401,-0.8793695,91.04
0.3539438,-1.214059,-4.3099055,5.3690367,3013.506,2796.795,2.1872132,-0.88018835,87.92
0.3635208,-1.2001307,-4.331659,5.345212,2992.381,2796.3977,2.2152524,-0.8810756,73.57
0.29751194,-1.2402235,-4.278685,5.3791986,3164.4824,2998.2988,2.0934992,-0.8794087,87.06
0.31162098,-1.2255526,-4.302867,5.350138,3145.1045,2954.2795,2.1380298,-0.88025606,83.53
0.36098725,-1.2369783,-4.3073483,5.404618,3185.615,3018.4568,2.0780177,-0.8786034,86.14
0.37637034,-1.2210033,-4.3318524,5.377088,3176.0205,2975.054,2.1113055,-0.87937164,103.51
0.38955316,-1.2059892,-4.3560314,5.350233,3166.971,2941.1196,2.1488562,-0.8802154,95.49
0.43807602,-1.2180717,-4.362556,5.398286,3211.271,3001.2368,2.101549,-0.87860566,140.66
0.45311314,-1.2031474,-4.3864107,5.3749332,3189.0427,2972.5325,2.135505,-0.8793779,110.74
0.22322915,-1.2352079,-4.2446165,5.3114233,3015.424,2844.4597,2.2296462,-0.88123447,95.5
0.29174298,-1.2324028,-4.2723765,5.3465466,3051.5745,2850.715,2.210709,-0.8801739,109.9
0.3031831,-1.2148546,-4.297696,5.313364,3036.004,2814.2417,2.2423036,-0.88114905,78.3
0.36154866,-1.2303094,-4.300754,5.374459,3081.416,2868.9019,2.2029414,-0.8793046,80.83
0.37162566,-1.2132725,-4.325476,5.343108,3067.2437,2823.6199,2.2332077,-0.8801503,54.13
0.38093626,-1.1982536,-4.3481073,5.3152895,3030.4744,2811.6926,2.260635,-0.88113004,69.35
0.31402186,-1.2397736,-4.293799,5.3530416,3210.8855,3033.4944,2.138809,-0.8793842,69.36
0.32743853,-1.2240624,-4.318101,5.3221307,3195.579,2998.1626,2.1802452,-0.88032025,89.55
0.38033074,-1.2367954,-4.3231564,5.380994,3237.1526,3058.3987,2.1223469,-0.87851006,93.49
0.3929381,-1.2201452,-4.3471622,5.350714,3227.3723,3006.7131,2.1552637,-0.8793413,88.72
0.40536112,-1.2041279,-4.371402,5.3233685,3213.3792,2973.3176,2.1903813,-0.88024104,81.53
0.45909968,-1.2178774,-4.376822,5.377487,3250.4436,3031.204,2.1450517,-0.8784908,70.68
0.4703888,-1.2016116,-4.4022765,5.348369,3235.6248,2988.0625,2.1806016,-0.87936103,88.45
0.40318766,-1.2445724,-4.3442388,5.388806,3385.63,3202.1094,2.0580835,-0.8777434,97.09
0.4181487,-1.2285942,-4.3687515,5.359158,3386.1787,3178.6924,2.0912557,-0.87853956,85.43
0.43099874,-1.2133187,-4.3919783,5.3306165,3369.2734,3147.1577,2.1331916,-0.879444,82.23
0.4840284,-1.225195,-4.3976555,5.3851194,3415.5132,3191.534,2.072298,-0.8776392,107.67
0.49713492,-1.2092202,-4.422651,5.357485,3404.0986,3152.0854,2.1092217,-0.87851447,109.28
0.56114954,-1.2069464,-4.453359,5.3816576,3434.827,3183.6663,2.0972583,-0.87767214,105.65
0.33129945,-1.2386299,-4.3104615,5.322115,3262.264,3077.5027,2.1856902,-0.8795643,60.86
0.3435312,-1.2213115,-4.334366,5.2868266,3250.3367,3052.2507,2.225106,-0.8806097,72.07
0.3972643,-1.2361977,-4.3389645,5.3560443,3290.5127,3095.979,2.1678178,-0.8785091,83.14
0.40906847,-1.2183869,-4.3635306,5.3214307,3276.8643,3049.1255,2.198369,-0.8794661,78.87
0.4225796,-1.2013303,-4.389744,5.288657,3266.503,3012.4702,2.2341387,-0.8804921,84.82
0.4774314,-1.2180324,-4.3910556,5.351675,3301.695,3072.7312,2.1913612,-0.8784723,74.06
0.48756537,-1.2013067,-4.4155226,5.3194056,3286.5625,3042.853,2.2218177,-0.87940484,79.31
0.4212407,-1.2435471,-4.3602824,5.363947,3448.3887,3264.5989,2.097202,-0.8776922,70.83
0.43374252,-1.2270603,-4.383593,5.3309417,3435.563,3226.2737,2.1335042,-0.8786114,64.81
0.44538644,-1.2111089,-4.4061513,5.2972717,3415.0115,3201.1367,2.1781468,-0.87970084,59.17
