,0
0,52.85114
1,52.869076
2,52.025158
3,52.869076
4,52.869076
5,51.730164
6,51.00664
7,50.947994
8,51.603184
9,51.707005
10,51.00664
11,50.944984
12,50.590458
13,49.48835
14,50.418106
15,50.64423
16,50.58992
17,49.805885
18,48.002632
19,50.31252
20,46.914936
21,50.610477
22,50.556168
23,49.772133
24,47.96888
25,50.27926
26,45.39491
27,46.864594
28,48.860085
29,49.730186
30,49.772133
31,48.029217
32,50.23702
33,45.38439
34,45.37832
35,54.102955
36,48.8639
37,49.725338
38,49.83247
39,48.029217
40,50.809048
41,45.38439
42,55.37331
43,55.86412
44,51.343746
45,43.88261
46,48.87203
47,49.78909
48,44.117203
49,50.809048
50,58.404766
51,58.62075
52,49.85854
53,49.85803
54,39.749104
55,52.85114
56,52.869076
57,52.85114
58,52.901676
59,52.869076
60,52.559155
61,48.108517
62,52.205486
63,52.43126
64,51.646667
65,47.746105
66,50.361477
67,50.590458
68,50.31433
69,50.40001
70,47.7327
71,50.361477
72,50.631866
73,48.828613
74,51.738457
75,50.794777
76,50.330734
77,50.554073
78,50.60182
79,49.70652
80,50.174427
81,49.308502
82,50.712067
83,48.588352
84,50.557262
85,48.79486
86,49.70652
87,50.301033
88,49.278492
89,46.568485
90,44.107765
91,43.94607
92,50.552414
93,48.79486
94,55.48678
95,54.766903
96,49.29247
97,46.525223
98,42.622047
99,35.386547
100,43.833706
101,48.81488
102,48.790012
103,54.660797
104,54.82724
105,53.7327
106,42.65545
107,42.622047
108,43.895264
109,45.625298
110,48.088955
111,43.8348
112,47.05248
113,54.716286
114,53.70705
115,49.90983
116,42.7446
117,52.6158
118,47.142704
119,38.133785
120,38.5949
121,52.85114
122,51.618843
123,52.85114
124,49.59479
125,52.525517
126,52.43427
127,48.046387
128,49.27476
129,52.170216
130,52.47265
131,47.683975
132,47.43075
133,50.362015
134,50.31433
135,51.22599
136,47.37163
137,47.27371
138,47.4727
139,48.794304
140,52.530685
141,51.81081
142,47.33487
143,48.45364
144,45.635693
145,49.73912
146,51.00041
147,50.72944
148,50.71785
149,46.87532
150,47.438946
151,45.635693
152,55.51938
153,51.151073
154,50.71865
155,46.513393
156,48.02136
157,41.888157
158,46.971386
159,48.566418
160,55.48678
161,55.171806
162,50.71865
163,46.514576
164,46.536026
165,35.021336
166,43.037155
167,46.979397
168,46.783424
169,55.486713
170,55.171806
171,55.16046
172,46.5172
173,46.536026
174,33.62292
175,32.113544
176,47.291916
177,42.02307
178,49.836597
179,55.481865
180,55.171806
181,53.679188
182,46.572292
183,46.491993
184,33.876026
185,30.627865
186,41.352848
187,46.148247
188,45.88124
189,49.540325
190,53.74433
191,52.760292
192,53.73428
193,46.572292
194,42.345474
195,33.876026
196,40.53375
197,44.60087
198,44.59985
199,51.600906
200,49.97095
201,52.88374
202,49.53266
203,49.59479
204,52.18789
205,48.046387
206,49.289085
207,48.917027
208,52.117584
209,47.67057
210,47.36862
211,47.43129
212,50.085888
213,50.31433
214,47.337803
215,47.237362
216,47.237362
217,45.635136
218,52.530685
219,52.63679
220,47.337803
221,47.240295
222,45.43411
223,46.808395
224,51.077503
225,52.215714
226,52.20437
227,46.77965
228,47.24107
229,45.43411
230,53.54404
231,49.90084
232,50.71865
233,47.994667
234,48.007973
235,41.820705
236,47.758686
237,46.54751
238,52.58859
239,52.27368
240,50.75125
241,47.99585
242,47.961266
243,49.419926
244,41.827503
245,47.825108
246,54.644325
247,52.544094
248,53.915745
249,55.16046
250,48.00353
251,47.962208
252,39.40697
253,37.95203
254,46.07933
255,47.4861
256,55.89236
257,55.01132
258,55.19306
259,47.995224
260,47.961823
261,49.41548
262,39.300804
263,35.201168
264,31.283644
265,45.991203
266,51.74135
267,54.55481
268,56.690968
269,53.414917
270,47.995224
271,47.961823
