,0
0,37.00546
1,37.105927
2,38.677326
3,38.003853
4,38.84345
5,40.455906
6,38.842087
7,39.739605
8,40.391197
9,41.164288
10,39.587288
11,40.40321
12,41.116924
13,41.572887
14,42.1002
15,40.213528
16,41.030445
17,41.730568
18,42.324017
19,42.75696
20,43.25367
21,40.90469
22,41.63813
23,42.321323
24,43.004765
25,43.585487
26,44.025043
27,44.169727
28,41.9653
29,42.52235
30,43.074078
31,43.729633
32,44.41421
33,44.971016
34,45.16473
35,44.899956
36,43.038273
37,43.556065
38,44.080605
39,44.626995
40,45.15354
41,45.79154
42,46.150745
43,45.820282
44,45.245907
45,44.10103
46,44.597946
47,45.13938
48,45.654495
49,46.121056
50,46.597645
51,46.879116
52,46.59435
53,46.140827
54,45.566784
55,35.484005
56,35.80042
57,37.064167
58,36.078465
59,37.541866
60,38.730404
61,37.021366
62,37.874035
63,38.83489
64,40.122517
65,37.863575
66,38.74629
67,39.337788
68,39.77411
69,41.27396
70,38.55525
71,39.363926
72,40.036858
73,40.54494
74,40.976807
75,42.453915
76,39.23064
77,39.919315
78,40.592426
79,41.26556
80,41.75574
81,42.195583
82,43.2904
83,40.117863
84,40.65385
85,41.25946
86,41.90437
87,42.58784
88,43.056927
89,43.43621
90,43.447754
91,41.0759
92,41.592182
93,42.108696
94,42.652245
95,43.264805
96,43.934643
97,44.389233
98,44.22122
99,43.671276
100,42.1075
101,42.60233
102,43.119846
103,43.663265
104,44.19135
105,44.69366
106,45.277412
107,45.07159
108,44.542248
109,43.959614
110,43.209423
111,43.695763
112,44.213707
113,44.755806
114,45.199192
115,45.639606
116,46.075577
117,45.884857
118,45.38789
119,44.862995
120,44.279636
121,33.801174
122,34.13907
123,35.377666
124,34.716686
125,35.810658
126,36.989388
127,35.20036
128,36.24231
129,37.558178
130,38.468994
131,36.04275
132,37.018227
133,37.558495
134,38.888256
135,39.669464
136,36.884293
137,37.67065
138,38.326492
139,38.76576
140,40.088562
141,40.870834
142,37.59647
143,38.225357
144,38.898453
145,39.533436
146,39.969975
147,41.176083
148,41.946384
149,38.349335
150,38.915585
151,39.521034
152,40.16025
153,40.784695
154,41.227283
155,41.797634
156,42.88631
157,39.283268
158,39.774082
159,40.33797
160,40.90227
161,41.523228
162,42.08784
163,42.508595
164,42.584797
165,43.590763
166,40.285034
167,40.74426
168,41.248306
169,41.765194
170,42.349964
171,42.94907
172,43.490757
173,43.568535
174,43.086205
175,43.827633
176,41.302876
177,41.75547
178,42.232365
179,42.77339
180,43.31512
181,43.760876
182,44.29961
183,44.433216
184,43.88189
185,43.29765
186,43.4517
187,42.26416
188,42.813545
189,43.346157
190,43.83845
191,44.311695
192,44.748367
193,45.185246
194,45.237873
195,44.88167
196,44.55473
197,44.230755
198,43.696484
199,32.118343
200,32.54849
201,33.71406
202,33.046234
203,34.212467
204,35.362095
205,33.603962
206,34.801247
207,35.811882
208,36.80709
209,34.221813
210,35.10567
211,36.441303
212,37.304726
213,38.087864
214,35.076958
215,35.958427
216,36.546837
217,37.72164
218,38.505466
219,39.288235
220,35.98581
221,36.54839
222,37.204506
223,37.753822
224,38.946217
225,39.706562
226,40.34936
227,36.705982
228,37.2475
229,37.828056
230,38.433254
231,38.961163
232,39.613792
233,40.831394
234,41.428524
235,37.541065
236,38.06899
237,38.597107
238,39.178627
239,39.783493
240,40.25783
241,40.65862
242,42.029606
243,42.203823
244,38.51021
245,38.97083
246,39.481007
247,40.023937
248,40.588276
249,41.173615
250,41.6276
251,41.863895
252,42.8577
253,42.59959
254,39.53003
255,39.98079
256,40.432964
257,40.930923
258,41.494045
259,42.08264
260,42.667618
261,42.921078
262,42.517567
263,42.666252
